Model name,Model URL,OpenRouter model ID,Provider,Context length,Price/input token,Price/output token,Latency,Throughput,Creation date
Google: Gemini 2.5 Flash Preview 09-2025,https://openrouter.ai/google/gemini-2.5-flash-preview-09-2025,google/gemini-2.5-flash-preview-09-2025,Google AI Studio,1048576,0.0000003,0.0000025,,,"Sep 25, 2025"
Google: Gemini 2.5 Flash Preview 09-2025,https://openrouter.ai/google/gemini-2.5-flash-preview-09-2025,google/gemini-2.5-flash-preview-09-2025,Google,1048576,0.0000003,0.0000025,,,"Sep 25, 2025"
Google: Gemini 2.5 Flash Lite Preview 09-2025,https://openrouter.ai/google/gemini-2.5-flash-lite-preview-09-2025,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,1048576,0.0000001,0.0000004,,,"Sep 25, 2025"
Google: Gemini 2.5 Flash Lite Preview 09-2025,https://openrouter.ai/google/gemini-2.5-flash-lite-preview-09-2025,google/gemini-2.5-flash-lite-preview-09-2025,Google,1048576,0.0000001,0.0000004,,,"Sep 25, 2025"
Qwen: Qwen3 VL 235B A22B Thinking,https://openrouter.ai/qwen/qwen3-vl-235b-a22b-thinking,qwen/qwen3-vl-235b-a22b-thinking,Novita,131072,0.0000003,0.000003,,,"Sep 23, 2025"
Qwen: Qwen3 VL 235B A22B Thinking,https://openrouter.ai/qwen/qwen3-vl-235b-a22b-thinking,qwen/qwen3-vl-235b-a22b-thinking,Parasail,65536,0.0000005,0.0000035,,,"Sep 23, 2025"
Qwen: Qwen3 VL 235B A22B Thinking,https://openrouter.ai/qwen/qwen3-vl-235b-a22b-thinking,qwen/qwen3-vl-235b-a22b-thinking,Alibaba,131072,0.0000007,0.0000084,,,"Sep 23, 2025"
Qwen: Qwen3 VL 235B A22B Instruct,https://openrouter.ai/qwen/qwen3-vl-235b-a22b-instruct,qwen/qwen3-vl-235b-a22b-instruct,Novita,131072,0.0000003,0.0000015,,,"Sep 23, 2025"
Qwen: Qwen3 VL 235B A22B Instruct,https://openrouter.ai/qwen/qwen3-vl-235b-a22b-instruct,qwen/qwen3-vl-235b-a22b-instruct,Parasail,262144,0.0000005,0.0000025,,,"Sep 23, 2025"
Qwen: Qwen3 VL 235B A22B Instruct,https://openrouter.ai/qwen/qwen3-vl-235b-a22b-instruct,qwen/qwen3-vl-235b-a22b-instruct,Alibaba,131072,0.0000007,0.0000028,,,"Sep 23, 2025"
Qwen: Qwen3 Max,https://openrouter.ai/qwen/qwen3-max,qwen/qwen3-max,Alibaba,256000,0.0000012,0.000006,,,"Sep 23, 2025"
Qwen: Qwen3 Coder Plus,https://openrouter.ai/qwen/qwen3-coder-plus,qwen/qwen3-coder-plus,Alibaba,128000,0.000001,0.000005,,,"Sep 23, 2025"
Qwen: Qwen3 Coder Flash,https://openrouter.ai/qwen/qwen3-coder-flash,qwen/qwen3-coder-flash,Alibaba,128000,0.0000003,0.0000015,,,"Sep 17, 2025"
Qwen: Qwen3 Next 80B A3B Thinking,https://openrouter.ai/qwen/qwen3-next-80b-a3b-thinking-2509,qwen/qwen3-next-80b-a3b-thinking,Chutes,262144,0.0000001,0.0000008,,,"Sep 11, 2025"
Qwen: Qwen3 Next 80B A3B Thinking,https://openrouter.ai/qwen/qwen3-next-80b-a3b-thinking-2509,qwen/qwen3-next-80b-a3b-thinking,DeepInfra,262144,0.00000014,0.0000014,,,"Sep 11, 2025"
Qwen: Qwen3 Next 80B A3B Thinking,https://openrouter.ai/qwen/qwen3-next-80b-a3b-thinking-2509,qwen/qwen3-next-80b-a3b-thinking,Google,262144,0.00000015,0.0000012,,,"Sep 11, 2025"
Qwen: Qwen3 Next 80B A3B Thinking,https://openrouter.ai/qwen/qwen3-next-80b-a3b-thinking-2509,qwen/qwen3-next-80b-a3b-thinking,Novita,131072,0.00000015,0.0000015,,,"Sep 11, 2025"
Qwen: Qwen3 Next 80B A3B Thinking,https://openrouter.ai/qwen/qwen3-next-80b-a3b-thinking-2509,qwen/qwen3-next-80b-a3b-thinking,Together,262144,0.00000015,0.0000015,,,"Sep 11, 2025"
Qwen: Qwen3 Next 80B A3B Thinking,https://openrouter.ai/qwen/qwen3-next-80b-a3b-thinking-2509,qwen/qwen3-next-80b-a3b-thinking,AtlasCloud,262144,0.00000015,0.0000015,,,"Sep 11, 2025"
Qwen: Qwen3 Next 80B A3B Thinking,https://openrouter.ai/qwen/qwen3-next-80b-a3b-thinking-2509,qwen/qwen3-next-80b-a3b-thinking,GMICloud,262144,0.00000015,0.0000015,,,"Sep 11, 2025"
Qwen: Qwen3 Next 80B A3B Thinking,https://openrouter.ai/qwen/qwen3-next-80b-a3b-thinking-2509,qwen/qwen3-next-80b-a3b-thinking,Parasail,262144,0.00000025,0.0000011,,,"Sep 11, 2025"
Qwen: Qwen3 Next 80B A3B Thinking,https://openrouter.ai/qwen/qwen3-next-80b-a3b-thinking-2509,qwen/qwen3-next-80b-a3b-thinking,Hyperbolic,262144,0.0000003,0.0000003,,,"Sep 11, 2025"
Qwen: Qwen3 Next 80B A3B Thinking,https://openrouter.ai/qwen/qwen3-next-80b-a3b-thinking-2509,qwen/qwen3-next-80b-a3b-thinking,Alibaba,262144,0.0000005,0.000006,,,"Sep 11, 2025"
Qwen: Qwen3 Next 80B A3B Instruct,https://openrouter.ai/qwen/qwen3-next-80b-a3b-instruct-2509,qwen/qwen3-next-80b-a3b-instruct,Chutes,262144,0.0000001,0.0000008,,,"Sep 11, 2025"
Qwen: Qwen3 Next 80B A3B Instruct,https://openrouter.ai/qwen/qwen3-next-80b-a3b-instruct-2509,qwen/qwen3-next-80b-a3b-instruct,Parasail,262144,0.00000014,0.0000011,,,"Sep 11, 2025"
